start_station_id,start_long,start_lat,end_station_id,end_long,end_lat
36,-0.184980612,51.50173726,768,-0.159322467,51.46134382
355,-0.13922146,51.461388,768,-0.159322467,51.46134382
37,-0.192369256,51.49159394,2,-0.197574246,51.49960695
98,-0.138231303,51.52554222,514,-0.155525,51.516204
307,-0.187842717,51.50990837,771,-0.216016,51.509224
780,-0.18316517,51.474665,771,-0.216016,51.509224
10,-0.092754157,51.50597426,4,-0.120973687,51.53005939
303,-0.158456089,51.50295379,260,-0.135580879,51.5136846
460,-0.029138,51.516196,516,-0.014438,51.5112
144,-0.111435796,51.48894022,772,-0.122831913,51.47250956
609,-0.157788279,51.46512358,263,-0.080660083,51.51422502
566,-0.224103,51.509158,775,-0.223868,51.496664
264,-0.109256828,51.52644342,264,-0.109256828,51.52644342
361,-0.11342629,51.50391973,264,-0.109256828,51.52644342
303,-0.158456089,51.50295379,9,-0.096440751,51.5073853
428,-0.174554,51.499917,265,-0.169249375,51.51595344
157,-0.193068385,51.50039792,265,-0.169249375,51.51595344
230,-0.103137426,51.50669284,10,-0.092754157,51.50597426
81,-0.141327271,51.52025302,268,-0.144132875,51.49320445
734,-0.175407201,51.46230566,268,-0.144132875,51.49320445
45,-0.162298,51.522511,13,-0.136039674,51.51991453
603,-0.116493,51.477839,269,-0.089740764,51.50082346
595,-0.21985,51.493267,525,-0.21350087,51.496927
544,-0.102208,51.526153,14,-0.12394439999999918,51.529416
818,-0.12382322,51.501513,14,-0.12394439999999918,51.529416
572,-0.141728,51.539099,14,-0.12394439999999918,51.529416
167,-0.147624377,51.49395092,14,-0.12394439999999918,51.529416
219,-0.19039362,51.49016361,782,-0.19760944,51.483911
55,-0.086685542,51.51707521,15,-0.127854211,51.51772703
560,-0.205921,51.511624,527,-0.215808,51.503802
217,-0.082422399,51.51615461,16,-0.125979294,51.52635795
386,-0.130110822,51.51352755,16,-0.125979294,51.52635795
325,-0.129697889,51.50908747,272,-0.110699309,51.50144456
651,-0.183853573,51.48089844,528,-0.145827,51.507326
72,-0.108340165,51.52352001,17,-0.109006325,51.5216612
383,-0.13121385,51.51310333,273,-0.114686385,51.50613324
319,-0.088542771,51.52702563,273,-0.114686385,51.50613324
622,-0.205535908,51.50748124,274,-0.20528437,51.49671237
221,-0.13045856,51.49481649,274,-0.20528437,51.49671237
117,-0.114934001,51.49288067,274,-0.20528437,51.49671237
56,-0.154701411,51.52058381,19,-0.131161087,51.52505093
448,-0.02296,51.50623,531,-0.042744,51.530326
480,-0.0389866,51.5128711,276,-0.084985356,51.50930161
509,-0.090075,51.517842,532,-0.020242300000006708,51.5034
534,-0.066035,51.531864,533,-0.069743,51.528222
322,-0.073955,51.526293,533,-0.069743,51.528222
203,-0.100791005,51.51821864,278,-0.07962099,51.5034938
135,-0.104708922,51.52326004,278,-0.07962099,51.5034938
94,-0.085814489,51.49506109,278,-0.07962099,51.5034938
